T1,T2
KKR,DC
LSG,MI
CSK,PBKS
SRH,RR
MI,KKR
RCB,GT
PBKS,CSK
LSG,KKR
MI,SRH
DC,RR
SRH,LSG
PBKS,RCB
GT,CSK
KKR,MI
CSK,RR
RCB,DC
GT,KKR
DC,LSG
RR,PBKS
SRH,GT
MI,LSG
RCB,CSK
SRH,
